學年度	學校代碼	學校名稱	日間∕進修別	等級別	總計	男生計	女生計	一年級男	一年級女	二年級男	二年級女	三年級男	三年級女	四年級男	四年級女	五年級男	五年級女	六年級男	六年級女	七年級男	七年級女	延修生男	延修生女	縣市名稱	體系別
111	52	國立屏東大學	D 日	B 學士	6538	2886	3652	747	808	718	927	664	903	642	914	0	0	0	0	0	0	115	100	13 屏東縣	1 一般
111	52	國立屏東大學	P 進	B 學士	715	339	376	64	49	93	99	94	116	64	92	0	0	0	0	0	0	24	20	13 屏東縣	1 一般
111	53	國立高雄科技大學	D 日	D 博士	598	444	154	91	43	77	37	69	23	78	18	47	14	45	4	37	15	0	0	50 高雄市	2 技職
111	53	國立高雄科技大學	D 日	M 碩士	2618	1753	865	831	427	706	340	147	69	68	28	1	1	0	0	0	0	0	0	50 高雄市	2 技職
111	53	國立高雄科技大學	N 職	M 碩士	2010	1261	749	506	331	436	305	141	63	97	25	46	15	35	10	0	0	0	0	50 高雄市	2 技職
111	53	國立高雄科技大學	D 日	B 四技	17469	10826	6643	2743	1621	2658	1708	2611	1615	2431	1585	0	0	0	0	0	0	383	114	50 高雄市	2 技職
111	53	國立高雄科技大學	N 修	B 四技	3751	2541	1210	561	227	582	282	555	302	589	308	0	0	0	0	0	0	254	91	50 高雄市	2 技職
111	53	國立高雄科技大學	D 日	C 二技	430	279	151	0	0	0	0	150	64	93	73	0	0	0	0	0	0	36	14	50 高雄市	2 技職
111	53	國立高雄科技大學	N 修	C 二技	105	56	49	0	0	0	0	25	29	28	19	0	0	0	0	0	0	3	1	50 高雄市	2 技職
111	53	國立高雄科技大學	D 日	5 五專	867	703	164	145	33	131	32	105	34	135	32	169	31	0	0	0	0	18	2	50 高雄市	2 技職
111	144	國立臺灣戲曲學院	D 日	B 四技	516	194	322	57	73	45	72	48	81	30	86	0	0	0	0	0	0	14	10	30 臺北市	2 技職
111	221	國立臺南護理專科學校	D 日	2 二專	77	3	74	1	35	1	36	0	0	0	0	0	0	0	0	0	0	1	3	21 臺南市	2 技職
111	221	國立臺南護理專科學校	N 修	2 二專	43	9	34	4	19	5	15	0	0	0	0	0	0	0	0	0	0	0	0	21 臺南市	2 技職
111	221	國立臺南護理專科學校	D 日	5 五專	1865	184	1681	46	368	37	356	36	327	32	309	29	310	0	0	0	0	4	11	21 臺南市	2 技職
111	222	國立臺東專科學校	D 日	2 二專	438	299	139	132	63	163	75	0	0	0	0	0	0	0	0	0	0	4	1	14 臺東縣	2 技職
111	222	國立臺東專科學校	N 修	2 二專	96	43	53	19	26	20	26	0	0	0	0	0	0	0	0	0	0	4	1	14 臺東縣	2 技職
111	222	國立臺東專科學校	D 日	5 五專	221	113	108	15	24	22	14	22	16	27	20	17	20	0	0	0	0	10	14	14 臺東縣	2 技職
111	1001	東海大學	D 日	D 博士	240	150	90	26	10	24	10	22	12	18	19	18	13	23	9	19	17	0	0	19 臺中市	1 一般
111	1001	東海大學	D 日	M 碩士	1368	656	712	242	276	175	216	133	130	96	83	7	5	3	2	0	0	0	0	19 臺中市	1 一般
111	1001	東海大學	N 職	M 碩士	760	373	387	113	136	120	133	54	54	41	34	25	17	20	13	0	0	0	0	19 臺中市	1 一般
111	1001	東海大學	D 日	B 學士	12607	5657	6950	1284	1463	1475	1737	1367	1730	1198	1766	14	16	0	0	0	0	319	238	19 臺中市	1 一般
111	1001	東海大學	P 進	B 學士	308	149	159	16	22	19	26	27	34	30	28	30	38	0	0	0	0	27	11	19 臺中市	1 一般
111	1002	輔仁大學	D 日	D 博士	423	218	205	43	35	29	33	34	26	35	32	26	25	28	22	23	32	0	0	01 新北市	1 一般
111	1002	輔仁大學	D 日	M 碩士	2008	782	1226	266	445	269	387	130	220	114	168	1	2	2	4	0	0	0	0	01 新北市	1 一般
111	1002	輔仁大學	N 職	M 碩士	1501	580	921	219	271	185	303	73	149	51	104	22	52	30	42	0	0	0	0	01 新北市	1 一般
111	1002	輔仁大學	D 日	B 學士	17908	7347	10561	1679	2390	1838	2627	1649	2662	1658	2440	40	13	38	13	0	0	445	416	01 新北市	1 一般
111	1002	輔仁大學	P 進	B 學士	4081	1643	2438	353	455	414	599	370	559	339	584	0	0	0	0	0	0	167	241	01 新北市	1 一般
111	1002	輔仁大學	N 修	C 二技	60	3	57	0	0	0	0	2	21	1	35	0	0	0	0	0	0	0	1	01 新北市	2 技職
111	1003	東吳大學	D 日	D 博士	127	73	54	12	4	8	8	12	6	10	11	4	7	15	7	12	11	0	0	30 臺北市	1 一般
111	1003	東吳大學	D 日	M 碩士	1335	599	736	191	243	178	220	118	114	97	153	15	6	0	0	0	0	0	0	30 臺北市	1 一般
111	1003	東吳大學	N 職	M 碩士	1281	590	691	168	199	130	174	104	115	78	86	46	68	64	49	0	0	0	0	30 臺北市	1 一般
111	1003	東吳大學	D 日	B 學士	11772	4634	7138	1068	1527	1091	1720	1048	1716	1028	1713	105	137	0	0	0	0	294	325	30 臺北市	1 一般
111	1003	東吳大學	P 進	B 學士	772	296	476	24	38	67	95	70	122	70	133	48	68	0	0	0	0	17	20	30 臺北市	1 一般
111	1004	中原大學	D 日	D 博士	355	243	112	50	26	46	23	30	22	42	14	30	16	16	5	29	6	0	0	03 桃園市	1 一般
111	1004	中原大學	D 日	M 碩士	1596	902	694	381	295	337	227	117	84	62	78	4	5	1	4	0	1	0	0	03 桃園市	1 一般
111	1004	中原大學	N 職	M 碩士	927	545	382	197	138	168	136	74	52	41	27	23	15	40	12	2	2	0	0	03 桃園市	1 一般
111	1004	中原大學	D 日	B 學士	13751	7176	6575	1713	1552	1655	1605	1626	1540	1579	1509	79	78	0	0	0	0	524	291	03 桃園市	1 一般
111	1005	淡江大學	D 日	D 博士	366	242	124	40	27	44	21	38	17	37	18	24	17	27	9	32	15	0	0	01 新北市	1 一般
111	1005	淡江大學	D 日	M 碩士	1491	827	664	376	266	304	237	88	95	59	66	0	0	0	0	0	0	0	0	01 新北市	1 一般
111	1005	淡江大學	N 職	M 碩士	670	330	340	115	123	112	132	50	39	29	25	10	8	14	13	0	0	0	0	01 新北市	1 一般
111	1005	淡江大學	D 日	B 學士	19799	10498	9301	2196	1814	2604	2403	2549	2331	2419	2375	38	27	0	0	0	0	692	351	01 新北市	1 一般
111	1005	淡江大學	P 進	B 學士	1002	592	410	104	66	129	88	138	88	136	113	0	0	0	0	0	0	85	55	01 新北市	1 一般
111	1006	中國文化大學	D 日	D 博士	508	312	196	34	27	29	30	32	19	37	21	40	14	31	27	109	58	0	0	30 臺北市	1 一般
111	1006	中國文化大學	D 日	M 碩士	1536	826	710	240	193	159	166	128	121	123	97	75	61	101	72	0	0	0	0	30 臺北市	1 一般
111	1006	中國文化大學	N 職	M 碩士	573	207	366	61	109	46	111	21	48	28	31	32	35	19	32	0	0	0	0	30 臺北市	1 一般
111	1006	中國文化大學	D 日	B 學士	18166	9218	8948	1374	1335	2252	2147	2185	2195	2004	2200	27	19	0	0	0	0	1376	1052	30 臺北市	1 一般
111	1006	中國文化大學	P 進	B 學士	1304	509	795	93	212	102	148	87	140	131	184	0	0	0	0	0	0	96	111	30 臺北市	1 一般
111	1006	中國文化大學	N 修	C 二技	178	66	112	0	0	0	0	27	36	30	58	6	16	0	0	0	0	3	2	30 臺北市	2 技職
111	1007	逢甲大學	D 日	D 博士	415	292	123	56	33	53	21	51	24	33	13	28	15	29	7	42	10	0	0	19 臺中市	1 一般
111	1007	逢甲大學	D 日	M 碩士	1694	1106	588	489	276	457	224	109	54	47	32	4	2	0	0	0	0	0	0	19 臺中市	1 一般
111	1007	逢甲大學	N 職	M 碩士	1156	705	451	270	185	244	182	76	49	53	23	38	4	24	8	0	0	0	0	19 臺中市	1 一般
111	1007	逢甲大學	D 日	B 學士	17341	10018	7323	2345	1713	2410	1836	2330	1798	2382	1760	49	45	0	0	0	0	502	171	19 臺中市	1 一般
111	1007	逢甲大學	P 進	B 學士	835	499	336	93	60	121	79	121	88	106	75	0	0	0	0	0	0	58	34	19 臺中市	1 一般
111	1008	靜宜大學	D 日	D 博士	59	29	30	7	5	7	7	1	7	3	5	3	4	2	2	6	0	0	0	06 臺中市	1 一般
111	1008	靜宜大學	D 日	M 碩士	671	248	423	90	164	77	130	43	81	35	45	1	3	2	0	0	0	0	0	06 臺中市	1 一般
111	1008	靜宜大學	N 職	M 碩士	334	129	205	40	79	38	51	23	34	7	12	8	17	12	9	1	3	0	0	06 臺中市	1 一般
111	1008	靜宜大學	D 日	B 學士	10642	4082	6560	808	1364	1046	1630	1008	1649	889	1624	0	0	0	0	0	0	331	293	06 臺中市	1 一般
111	1009	長庚大學	D 日	D 博士	424	270	154	40	35	43	29	29	22	39	16	30	19	23	8	66	25	0	0	03 桃園市	1 一般
111	1009	長庚大學	D 日	M 碩士	1144	534	610	226	254	184	194	80	88	42	49	1	14	1	11	0	0	0	0	03 桃園市	1 一般
111	1009	長庚大學	N 職	M 碩士	183	95	88	39	43	31	33	8	5	9	3	2	2	6	2	0	0	0	0	03 桃園市	1 一般
111	1009	長庚大學	D 日	B 學士	5236	2535	2701	573	621	552	649	594	604	510	584	97	72	101	66	15	31	93	74	03 桃園市	1 一般
111	1010	元智大學	D 日	D 博士	233	162	71	21	16	37	12	28	7	26	12	23	9	18	8	9	7	0	0	03 桃園市	1 一般
111	1010	元智大學	D 日	M 碩士	829	488	341	216	169	170	120	62	41	40	11	0	0	0	0	0	0	0	0	03 桃園市	1 一般
111	1010	元智大學	N 職	M 碩士	572	346	226	98	93	112	79	44	22	48	13	27	12	15	7	2	0	0	0	03 桃園市	1 一般
111	1010	元智大學	D 日	B 學士	7010	3928	3082	870	674	1000	821	944	734	874	729	0	0	0	0	0	0	240	124	03 桃園市	1 一般
111	1011	中華大學	D 日	D 博士	65	48	17	8	5	10	3	11	3	9	2	6	2	1	2	3	0	0	0	18 新竹市	1 一般
111	1011	中華大學	D 日	M 碩士	288	176	112	96	69	55	23	14	9	11	11	0	0	0	0	0	0	0	0	18 新竹市	1 一般
111	1011	中華大學	N 職	M 碩士	134	88	46	46	25	29	20	7	0	6	1	0	0	0	0	0	0	0	0	18 新竹市	1 一般
111	1011	中華大學	D 日	B 學士	3569	2436	1133	443	198	555	260	603	282	570	298	28	18	0	0	0	0	237	77	18 新竹市	1 一般
111	1011	中華大學	P 進	B 學士	174	112	62	39	26	24	11	23	16	14	7	0	0	0	0	0	0	12	2	18 新竹市	1 一般
111	1011	中華大學	N 修	C 二技	231	152	79	0	0	0	0	6	7	144	71	0	0	0	0	0	0	2	1	18 新竹市	2 技職
111	1012	大葉大學	D 日	D 博士	104	69	35	12	9	7	8	11	7	12	5	11	3	10	1	6	2	0	0	07 彰化縣	1 一般
111	1012	大葉大學	D 日	M 碩士	397	221	176	94	90	68	49	30	19	25	18	3	0	1	0	0	0	0	0	07 彰化縣	1 一般
111	1012	大葉大學	N 職	M 碩士	188	91	97	63	48	12	23	7	12	2	6	4	3	3	5	0	0	0	0	07 彰化縣	1 一般
111	1012	大葉大學	D 日	B 學士	4717	2603	2114	478	372	566	491	640	540	704	628	0	0	0	0	0	0	215	83	07 彰化縣	1 一般
111	1012	大葉大學	P 進	B 學士	241	150	91	21	16	34	22	40	17	39	30	0	0	0	0	0	0	16	6	07 彰化縣	1 一般
111	1012	大葉大學	N 修	C 二技	47	1	46	0	0	0	0	1	17	0	17	0	0	0	0	0	0	0	12	07 彰化縣	2 技職
111	1013	華梵大學	D 日	D 博士	64	30	34	3	7	2	6	5	5	5	5	5	4	5	3	5	4	0	0	01 新北市	1 一般
111	1013	華梵大學	D 日	M 碩士	181	76	105	32	36	14	23	19	21	11	25	0	0	0	0	0	0	0	0	01 新北市	1 一般
111	1013	華梵大學	N 職	M 碩士	184	71	113	29	53	17	27	8	23	12	8	3	2	2	0	0	0	0	0	01 新北市	1 一般
111	1013	華梵大學	D 日	B 學士	562	276	286	74	105	61	67	63	55	48	39	0	0	0	0	0	0	30	20	01 新北市	1 一般
111	1014	義守大學	D 日	D 博士	143	100	43	15	5	18	7	21	7	12	8	9	6	12	6	13	4	0	0	12 高雄市	1 一般
111	1014	義守大學	D 日	M 碩士	347	181	166	68	74	75	54	25	23	13	15	0	0	0	0	0	0	0	0	12 高雄市	1 一般
111	1014	義守大學	N 職	M 碩士	353	233	120	100	43	73	53	21	14	19	5	12	1	8	4	0	0	0	0	12 高雄市	1 一般
111	1014	義守大學	D 日	B 學士	11217	5694	5523	1111	1171	1426	1424	1337	1364	1438	1346	27	22	0	0	0	0	355	196	12 高雄市	1 一般
111	1014	義守大學	P 進	B 學士	734	538	196	181	55	116	31	69	24	109	66	0	0	0	0	0	0	63	20	12 高雄市	1 一般
111	1014	義守大學	N 修	C 二技	147	22	125	0	0	0	0	9	56	13	66	0	0	0	0	0	0	0	3	12 高雄市	2 技職
111	1015	世新大學	D 日	D 博士	82	47	35	9	7	6	6	8	10	5	3	8	4	5	2	6	3	0	0	30 臺北市	1 一般
111	1015	世新大學	D 日	M 碩士	543	258	285	114	111	58	97	50	35	35	41	1	1	0	0	0	0	0	0	30 臺北市	1 一般
111	1015	世新大學	N 職	M 碩士	559	282	277	67	74	69	78	46	48	29	28	30	19	39	28	2	2	0	0	30 臺北市	1 一般
111	1015	世新大學	D 日	B 學士	9019	3210	5809	696	1242	791	1430	788	1486	793	1467	0	0	0	0	0	0	142	184	30 臺北市	1 一般
111	1015	世新大學	P 進	B 學士	696	241	455	75	169	72	135	33	58	35	71	0	0	0	0	0	0	26	22	30 臺北市	1 一般
111	1016	銘傳大學	D 日	D 博士	67	32	35	10	4	4	6	3	4	5	5	2	6	2	5	6	5	0	0	30 臺北市	1 一般
111	1016	銘傳大學	D 日	M 碩士	789	299	490	111	202	99	156	53	67	36	65	0	0	0	0	0	0	0	0	30 臺北市	1 一般
111	1016	銘傳大學	N 職	M 碩士	745	317	428	85	158	102	141	47	42	31	37	24	26	28	24	0	0	0	0	30 臺北市	1 一般
111	1016	銘傳大學	D 日	B 學士	16655	6628	10027	1456	2191	1636	2443	1528	2532	1530	2507	26	16	0	0	0	0	452	338	30 臺北市	1 一般
111	1017	實踐大學	D 日	D 博士	27	12	15	3	0	3	1	1	3	2	8	0	1	2	1	1	1	0	0	30 臺北市	1 一般
111	1017	實踐大學	D 日	M 碩士	357	162	195	50	59	51	62	31	55	28	17	2	2	0	0	0	0	0	0	30 臺北市	1 一般
111	1017	實踐大學	N 職	M 碩士	111	27	84	6	33	9	21	4	16	7	14	1	0	0	0	0	0	0	0	30 臺北市	1 一般
111	1017	實踐大學	D 日	B 學士	9896	3316	6580	729	1339	791	1601	779	1579	721	1674	10	28	0	0	0	0	286	359	30 臺北市	1 一般
111	1017	實踐大學	P 進	B 學士	1406	450	956	74	131	71	190	110	241	129	286	0	0	0	0	0	0	66	108	30 臺北市	1 一般
111	1017	實踐大學	N 修	C 二技	78	23	55	0	0	0	0	5	22	9	24	0	0	0	0	0	0	9	9	30 臺北市	2 技職
111	1018	朝陽科技大學	D 日	D 博士	112	73	39	18	10	17	7	11	7	13	10	5	4	3	0	6	1	0	0	06 臺中市	2 技職
111	1018	朝陽科技大學	D 日	M 碩士	609	311	298	137	138	106	79	38	43	27	29	3	7	0	1	0	1	0	0	06 臺中市	2 技職
111	1018	朝陽科技大學	N 職	M 碩士	276	124	152	39	41	23	37	19	23	17	16	11	18	12	13	3	4	0	0	06 臺中市	2 技職
111	1018	朝陽科技大學	D 日	B 四技	11134	4906	6228	1285	1521	1178	1501	1096	1486	1104	1548	0	0	0	0	0	0	243	172	06 臺中市	2 技職
111	1018	朝陽科技大學	N 修	B 四技	1640	815	825	157	132	131	161	174	189	249	270	0	0	0	0	0	0	104	73	06 臺中市	2 技職
111	1018	朝陽科技大學	D 日	C 二技	40	21	19	0	0	0	0	9	6	12	9	0	0	0	0	0	0	0	4	06 臺中市	2 技職
111	1019	高雄醫學大學	D 日	D 博士	313	151	162	36	25	30	30	23	30	29	32	17	19	7	17	9	9	0	0	50 高雄市	1 一般
111	1019	高雄醫學大學	D 日	M 碩士	701	226	475	93	203	93	155	29	84	10	32	1	1	0	0	0	0	0	0	50 高雄市	1 一般
111	1019	高雄醫學大學	N 職	M 碩士	230	89	141	38	60	34	56	11	16	2	5	4	4	0	0	0	0	0	0	50 高雄市	1 一般
111	1019	高雄醫學大學	D 日	B 學士	5274	2242	3032	515	713	492	692	445	746	457	661	151	82	137	95	1	0	44	43	50 高雄市	1 一般
111	1020	南華大學	D 日	D 博士	47	29	18	4	4	3	3	7	3	5	4	3	3	6	0	1	1	0	0	10 嘉義縣	1 一般
111	1020	南華大學	D 日	M 碩士	514	183	331	74	141	48	77	34	65	25	45	2	3	0	0	0	0	0	0	10 嘉義縣	1 一般
111	1020	南華大學	N 職	M 碩士	343	130	213	52	70	34	52	21	40	13	34	10	17	0	0	0	0	0	0	10 嘉義縣	1 一般
111	1020	南華大學	D 日	B 學士	3934	1860	2074	405	495	439	502	429	487	425	510	0	0	0	0	0	0	162	80	10 嘉義縣	1 一般
111	1020	南華大學	P 進	B 學士	298	180	118	43	43	38	26	40	21	47	22	0	0	0	0	0	0	12	6	10 嘉義縣	1 一般
111	1021	真理大學	D 日	M 碩士	124	64	60	28	27	16	15	12	9	8	8	0	1	0	0	0	0	0	0	01 新北市	1 一般
111	1021	真理大學	N 職	M 碩士	14	4	10	0	2	0	3	1	3	1	1	1	1	1	0	0	0	0	0	01 新北市	1 一般
111	1021	真理大學	D 日	B 學士	4175	2155	2020	383	369	511	472	585	544	500	535	0	0	0	0	0	0	176	100	01 新北市	1 一般
111	1021	真理大學	P 進	B 學士	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	01 新北市	1 一般
111	1022	大同大學	D 日	D 博士	95	62	33	11	5	16	1	12	4	9	7	2	9	7	4	5	3	0	0	30 臺北市	1 一般
111	1022	大同大學	D 日	M 碩士	223	140	83	59	39	59	27	15	13	7	4	0	0	0	0	0	0	0	0	30 臺北市	1 一般
111	1022	大同大學	N 職	M 碩士	149	114	35	30	20	36	5	11	2	17	3	20	5	0	0	0	0	0	0	30 臺北市	1 一般
111	1022	大同大學	D 日	B 學士	3351	2102	1249	418	250	546	344	511	306	497	302	0	0	0	0	0	0	130	47	30 臺北市	1 一般
111	1023	南臺科技大學	D 日	D 博士	79	53	26	12	4	8	7	8	4	9	4	7	4	4	3	5	0	0	0	11 臺南市	2 技職
111	1023	南臺科技大學	D 日	M 碩士	741	424	317	149	124	175	113	58	47	23	19	13	8	6	6	0	0	0	0	11 臺南市	2 技職
111	1023	南臺科技大學	N 職	M 碩士	321	160	161	63	65	46	50	18	20	11	13	6	7	16	6	0	0	0	0	11 臺南市	2 技職
111	1023	南臺科技大學	D 日	B 四技	11654	6796	4858	1573	1094	1598	1216	1605	1128	1683	1263	0	0	0	0	0	0	337	157	11 臺南市	2 技職
111	1023	南臺科技大學	N 修	B 四技	2668	1733	935	277	148	316	154	397	221	492	288	0	0	0	0	0	0	251	124	11 臺南市	2 技職
111	1023	南臺科技大學	D 日	C 二技	64	5	59	0	0	0	0	2	8	3	48	0	0	0	0	0	0	0	3	11 臺南市	2 技職
111	1023	南臺科技大學	N 修	C 二技	165	40	125	0	0	0	0	18	74	18	46	0	0	0	0	0	0	4	5	11 臺南市	2 技職
111	1023	南臺科技大學	D 日	5 五專	414	361	53	88	24	74	8	76	13	61	4	62	4	0	0	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	D 日	D 博士	30	24	6	6	0	4	1	4	0	4	3	5	1	1	1	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	D 日	M 碩士	307	192	115	89	52	89	48	10	9	4	6	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	N 職	M 碩士	172	114	58	64	27	32	23	9	4	9	4	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	D 日	B 四技	6298	3771	2527	873	728	950	533	779	519	983	646	0	0	0	0	0	0	186	101	11 臺南市	2 技職
111	1024	崑山科技大學	N 修	B 四技	2110	1444	666	348	134	288	136	317	165	369	171	0	0	0	0	0	0	122	60	11 臺南市	2 技職
111	1024	崑山科技大學	D 日	C 二技	55	26	29	0	0	0	0	5	4	21	25	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	N 修	C 二技	291	169	122	0	0	0	0	87	75	79	46	0	0	0	0	0	0	3	1	11 臺南市	2 技職
111	1024	崑山科技大學	D 日	2 二專	12	3	9	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1024	崑山科技大學	N 修	2 二專	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11 臺南市	2 技職
111	1025	嘉南藥理大學	D 日	M 碩士	164	71	93	40	40	22	38	6	11	3	4	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1025	嘉南藥理大學	N 職	M 碩士	192	84	108	37	42	27	43	12	19	5	3	3	1	0	0	0	0	0	0	11 臺南市	2 技職
111	1025	嘉南藥理大學	D 日	B 四技	8350	3515	4835	667	1019	878	1123	820	1125	938	1326	102	154	0	0	0	0	110	88	11 臺南市	2 技職
111	1025	嘉南藥理大學	N 修	B 四技	1194	597	597	127	112	108	113	141	120	159	183	0	0	0	0	0	0	62	69	11 臺南市	2 技職
111	1025	嘉南藥理大學	D 日	C 二技	78	1	77	0	0	0	0	1	30	0	46	0	0	0	0	0	0	0	1	11 臺南市	2 技職
111	1025	嘉南藥理大學	N 修	C 二技	526	85	441	0	0	0	0	46	229	37	209	0	0	0	0	0	0	2	3	11 臺南市	2 技職
111	1025	嘉南藥理大學	D 日	5 五專	112	51	61	51	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11 臺南市	2 技職
111	1026	樹德科技大學	D 日	D 博士	33	16	17	4	5	3	2	1	2	1	2	7	6	0	0	0	0	0	0	12 高雄市	2 技職
111	1026	樹德科技大學	D 日	M 碩士	233	87	146	45	63	28	48	4	21	8	14	2	0	0	0	0	0	0	0	12 高雄市	2 技職
111	1026	樹德科技大學	N 職	M 碩士	323	145	178	51	67	32	48	20	27	42	36	0	0	0	0	0	0	0	0	12 高雄市	2 技職
111	1026	樹德科技大學	D 日	B 四技	6632	2892	3740	614	865	739	894	635	847	699	987	0	0	0	0	0	0	205	147	12 高雄市	2 技職
111	1026	樹德科技大學	N 修	B 四技	1098	638	460	225	135	108	94	113	93	147	113	0	0	0	0	0	0	45	25	12 高雄市	2 技職
111	1026	樹德科技大學	N 修	C 二技	504	219	285	0	0	0	0	120	145	94	137	0	0	0	0	0	0	5	3	12 高雄市	2 技職
111	1026	樹德科技大學	N 修	2 二專	308	157	151	64	78	88	71	0	0	0	0	0	0	0	0	0	0	5	2	12 高雄市	2 技職
111	1027	慈濟大學	D 日	D 博士	97	48	49	10	6	4	13	12	9	8	9	6	4	4	1	4	7	0	0	15 花蓮縣	1 一般
111	1027	慈濟大學	D 日	M 碩士	383	119	264	44	79	43	97	20	46	12	42	0	0	0	0	0	0	0	0	15 花蓮縣	1 一般
111	1027	慈濟大學	N 職	M 碩士	19	5	14	2	8	1	1	1	2	0	2	1	1	0	0	0	0	0	0	15 花蓮縣	1 一般
111	1027	慈濟大學	D 日	B 學士	2558	1041	1517	206	264	239	374	228	397	236	374	60	43	30	23	0	0	42	42	15 花蓮縣	1 一般
111	1028	臺北醫學大學	D 日	D 博士	612	324	288	73	73	65	62	64	54	45	40	42	29	16	17	19	13	0	0	30 臺北市	1 一般
111	1028	臺北醫學大學	D 日	M 碩士	699	228	471	99	198	97	197	24	54	7	21	1	1	0	0	0	0	0	0	30 臺北市	1 一般
111	1028	臺北醫學大學	N 職	M 碩士	300	92	208	35	72	42	73	8	31	7	31	0	1	0	0	0	0	0	0	30 臺北市	1 一般
111	1028	臺北醫學大學	D 日	B 學士	4543	1909	2634	401	557	401	604	352	669	376	537	169	107	171	107	0	0	39	53	30 臺北市	1 一般
111	1029	中山醫學大學	D 日	D 博士	181	106	75	21	14	23	8	21	15	19	10	5	9	10	8	7	11	0	0	19 臺中市	1 一般
111	1029	中山醫學大學	D 日	M 碩士	537	177	360	76	138	59	128	25	52	17	42	0	0	0	0	0	0	0	0	19 臺中市	1 一般
111	1029	中山醫學大學	N 職	M 碩士	168	30	138	17	53	9	57	2	15	2	8	0	5	0	0	0	0	0	0	19 臺中市	1 一般
111	1029	中山醫學大學	D 日	B 學士	5983	2125	3858	436	791	476	918	464	928	461	915	119	94	107	102	0	0	62	110	19 臺中市	1 一般
111	1029	中山醫學大學	N 修	C 二技	113	40	73	0	0	0	0	17	19	10	27	12	25	0	0	0	0	1	2	19 臺中市	2 技職
111	1030	龍華科技大學	D 日	M 碩士	359	243	116	100	39	80	42	38	25	25	10	0	0	0	0	0	0	0	0	03 桃園市	2 技職
111	1030	龍華科技大學	N 職	M 碩士	122	91	31	30	17	45	10	7	2	9	2	0	0	0	0	0	0	0	0	03 桃園市	2 技職
111	1030	龍華科技大學	D 日	B 四技	7554	5150	2404	1249	562	1186	505	1229	581	1157	627	0	0	0	0	0	0	329	129	03 桃園市	2 技職
111	1030	龍華科技大學	N 修	B 四技	2851	2200	651	674	206	473	120	418	122	452	150	0	0	0	0	0	0	183	53	03 桃園市	2 技職
111	1030	龍華科技大學	D 日	C 二技	11	8	3	0	0	0	0	4	1	3	2	0	0	0	0	0	0	1	0	03 桃園市	2 技職
111	1030	龍華科技大學	D 日	5 五專	823	742	81	198	18	165	17	149	17	133	16	96	13	0	0	0	0	1	0	03 桃園市	2 技職
111	1031	輔英科技大學	D 日	M 碩士	154	31	123	16	47	8	37	5	21	2	17	0	1	0	0	0	0	0	0	12 高雄市	2 技職
111	1031	輔英科技大學	N 職	M 碩士	79	2	77	0	21	0	14	1	21	0	11	1	10	0	0	0	0	0	0	12 高雄市	2 技職
111	1031	輔英科技大學	D 日	B 四技	3403	1343	2060	237	408	364	499	326	521	315	522	0	0	0	0	0	0	101	110	12 高雄市	2 技職
111	1031	輔英科技大學	N 修	B 四技	417	328	89	99	29	62	19	46	13	82	21	0	0	0	0	0	0	39	7	12 高雄市	2 技職
111	1031	輔英科技大學	D 日	C 二技	1442	167	1275	0	0	0	0	87	611	72	647	0	0	0	0	0	0	8	17	12 高雄市	2 技職
111	1031	輔英科技大學	N 修	C 二技	951	200	751	0	0	0	0	78	304	74	323	18	26	0	0	0	0	30	98	12 高雄市	2 技職
111	1031	輔英科技大學	D 日	5 五專	2652	328	2324	71	440	68	429	56	509	66	454	56	437	0	0	0	0	11	55	12 高雄市	2 技職
111	1032	明新科技大學	D 日	M 碩士	343	197	146	84	68	83	59	17	13	13	6	0	0	0	0	0	0	0	0	04 新竹縣	2 技職
111	1032	明新科技大學	N 職	M 碩士	304	199	105	84	69	58	28	28	2	12	2	9	2	8	2	0	0	0	0	04 新竹縣	2 技職
111	1032	明新科技大學	D 日	B 四技	6523	3909	2614	974	674	849	545	721	492	1064	740	0	0	0	0	0	0	301	163	04 新竹縣	2 技職
111	1032	明新科技大學	N 修	B 四技	2410	1515	895	316	198	339	190	351	213	344	225	0	0	0	0	0	0	165	69	04 新竹縣	2 技職
111	1032	明新科技大學	D 日	C 二技	39	23	16	0	0	0	0	0	0	23	16	0	0	0	0	0	0	0	0	04 新竹縣	2 技職
111	1032	明新科技大學	N 修	C 二技	707	389	318	0	0	0	0	197	178	172	128	0	0	0	0	0	0	20	12	04 新竹縣	2 技職
111	1032	明新科技大學	D 日	2 二專	23	21	2	17	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	04 新竹縣	2 技職
111	1032	明新科技大學	N 修	2 二專	207	135	72	67	35	51	36	0	0	0	0	0	0	0	0	0	0	17	1	04 新竹縣	2 技職
